email,domain,country,fit_score,vertical_match,has_flipbook_competitor,final_url
longkai.w@wuxidimen.com,dimentro.com,US,4,property,0,https://www.dimentro.com/
sales@sublicool.com,sublicool.com,US,4,property,0,https://sublicool.com
chirag@jalaramagri.com,jalaramagri.com,US,4,property,0,https://www.jalaramagri.com/
jalaram13@jalaramagri.com,jalaramagri.com,US,4,property,0,https://www.jalaramagri.com/
investor@aton-group.com,aton-group.com,US,4,property,0,https://www.aton-group.com/
marketing@aton-group.com,aton-group.com,US,4,property,0,https://www.aton-group.com/
shareholder@aton-group.com,aton-group.com,US,4,property,0,https://www.aton-group.com/
info@synergychc.com,synergychc.com,US,4,property,0,https://synergychc.com
info@thewoodenfloor.org,thewoodenfloor.org,US,4,gallery,0,https://thewoodenfloor.org
info@etnaround.com,etnaround.com,US,4,property,0,https://www.etnaround.com/
dpo@dtcb.co.bw,dtcbotswana.com,US,4,gallery,0,https://www.dtcbotswana.com/
info@irvineschoolofmusic.com,irvineschoolofmusic.com,US,4,school,0,https://www.irvineschoolofmusic.com/
albert@elcoladorchino.com,elcoladorchino.com,US,4,restaurant,0,https://www.elcoladorchino.com/
circle@circleofconcern.org,circleofconcern.org,US,4,property,0,https://www.circleofconcern.org/
fbcginfo@fbcglenarden.org,fbcgbookstore.org,US,4,gallery,0,https://www.fbcgbookstore.org/
contact@leapfest.com,leapfest.com,US,4,gallery,0,https://www.leapfest.com/
ng.ri.riarng.mbx.56th-trp-cmd-leapfest-action-team@army.mil,leapfest.com,US,4,gallery,0,https://www.leapfest.com/
info@laditatour.com,laditatour.com,US,4,property,0,https://www.laditatour.com/
sales@cipsatec.com,cipsatec.com,US,4,property,0,https://www.cipsatec.com/
amber.butterfield@macd.org,macd.org,US,4,property,0,https://www.macd.org/
dane.cobain@wycombesound.org.uk,danecobain.com,US,4,property,0,https://www.danecobain.com/
dane@dane-writes.com,danecobain.com,US,4,property,0,https://www.danecobain.com/
andreja.litavec@arcisgolf.com,thecountryclubofthesouth.com,US,4,property,0,https://thecountryclubofthesouth.com
ben.mcwilliams@arcisgolf.com,thecountryclubofthesouth.com,US,4,property,0,https://thecountryclubofthesouth.com
david.potts@arcisgolf.com,thecountryclubofthesouth.com,US,4,property,0,https://thecountryclubofthesouth.com
johnna.maran@arcisgolf.com,thecountryclubofthesouth.com,US,4,property,0,https://thecountryclubofthesouth.com
matthew.beroth@arcisgolf.com,thecountryclubofthesouth.com,US,4,property,0,https://thecountryclubofthesouth.com
steve@applianceoutletcenter.com,applianceoutletmn.com,US,5,,0,https://applianceoutletmn.com
info@madeamano.com,madeamano.com,US,4,property,0,https://www.madeamano.com/
admin@festivalscape.com,festivalscape.com,US,4,property,0,https://www.festivalscape.com/
goldgrillzmiami@gmail.com,goldgrillz.miami,US,8,property,1,https://www.goldgrillz.miami/
info@epicdiving.com,epicdiving.com,US,4,property,0,https://www.epicdiving.com/
admin@aumgene.com,aumgene.com,US,4,gallery,0,https://www.aumgene.com/
md@aumgene.com,aumgene.com,US,4,gallery,0,https://www.aumgene.com/
commande@megaaluminium.ca,distributionmegaaluminium.ca,CA,4,gallery,0,https://www.distributionmegaaluminium.ca/
fac.admin@flatheadavalanche.org,flatheadavalanche.org,US,4,property,0,https://www.flatheadavalanche.org/
friends@flatheadavalanche.org,flatheadavalanche.org,US,4,property,0,https://www.flatheadavalanche.org/
info@claggettcenter.org,claggettcenter.org,US,4,property,0,https://www.claggettcenter.org/
brittanie@fencecompanynearme.com,fencecompanynearme.com,US,4,property,0,https://fencecompanynearme.com
office@fencecompanynearme.com,fencecompanynearme.com,US,4,property,0,https://fencecompanynearme.com
info@viperwrl.com,viperwrl.com,US,7,property,0,https://viperwrl.com
info@svdpvictoria.com,ssvpvancouverisland.ca,CA,2,,0,https://ssvpvancouverisland.ca
loveoneshere@gmail.com,breakingmedia88.com,US,4,property,0,https://www.breakingmedia88.com/
meinfo@creativemag.com,creativemag.com,US,4,magazine,0,https://www.creativemag.com/
