email,domain,country,fit_score,vertical_match,has_flipbook_competitor,final_url
contatti@tsn.srl,ideasardegna.it,IT,4,property,0,https://ideasardegna.it
joveoktatas@gmail.com,jogaveled.hu,HU,8,property,1,https://jogaveled.hu
yinxinggz@163.net,ormco.be,BE,4,property,0,https://ormco.be
podarok@prostotak.com.ua,prostotak.com.ua,UA,4,property,0,https://prostotak.com.ua/uk/
que.mpt@gmail.com,mptsr.fr,FR,4,magazine,0,https://www.mptsr.fr/
gliesploratori.osteriamare@gmail.com,gliesploratori.it,IT,7,property,0,https://gliesploratori.it
vivatip@vivatip.hr,vivatip.hr,HR,4,property,0,https://vivatip.hr
webshop@vivatip.hr,vivatip.hr,HR,4,property,0,https://vivatip.hr
info@pfefferle.de,pfefferle.de,DE,4,gallery,0,https://www.pfefferle.de/
maaltijd@hervormd.nl,hervormd.nl,NL,4,magazine,0,https://www.hervormd.nl/
info@theoldbrewer.se,theoldbrewer.se,SE,4,property,0,https://www.theoldbrewer.se/
press@khmnu.edu.ua,khmnu.edu.ua,UA,4,property,0,https://khmnu.edu.ua
info@bobbys-bar.nl,bobbys-bar.nl,NL,2,,0,https://www.bobbys-bar.nl/
contact@rtaccounting.co,rtaccounting.co.uk,GB,4,property,0,https://rtaccounting.co.uk
info@www.tduwird35.com,tdu-nrw.de,DE,4,gallery,0,https://tdu-nrw.de
reklama@klikk.lv,klikk.lv,LV,4,gallery,0,https://klikk.lv
info@petra-mattfeldt.de,petra-mattfeldt.de,DE,4,gallery,0,https://petra-mattfeldt.de
info@medimix.be,medimix.be,BE,4,property,0,https://medimix.be
il@camminodegliaurunci.org,visitaurunci.it,IT,4,property,0,https://www.visitaurunci.it/
info@mmcare.co.uk,mmcare.co.uk,GB,7,property,0,https://mmcare.co.uk
southislaydevelopment@gmail.com,southislay.co.uk,GB,4,property,0,https://southislay.co.uk
at@wikkrzeszowice.pl,wikkrzeszowice.pl,PL,7,property,0,https://wikkrzeszowice.pl
info@citycamping-hjoerring.dk,citycamping-hjoerring.dk,DK,4,property,0,https://citycamping-hjoerring.dk
kontakt@hilfe-vorladung.de,hilfe-strafrecht-mainz.de,DE,4,gallery,0,https://hilfe-strafrecht-mainz.de
